target_aps,actual_aps,samples,p50_ms,p99_ms,mean_ms,min_ms,max_ms
1,1.00,10,12.242558,13.718338,11.8504,5.297798,13.718338
2,1.80,18,12.103542,13.888373,12.1339,11.198872,13.888373
5,4.30,43,12.027520,13.579516,12.1214,11.165217,13.579516
10,8.00,80,12.022011,13.570820,12.1021,10.791630,14.152058
20,13.20,132,11.832360,13.529237,11.8227,10.564913,13.553295
30,17.30,173,11.940809,13.495259,11.974,10.642314,13.700711
50,22.20,222,11.774932,13.338856,11.7413,10.627135,13.462384
75,26.30,263,11.783142,13.239355,11.7507,10.812926,13.370369
100,27.80,278,11.790282,13.389867,11.7667,10.633879,13.542935
150,32.10,321,11.631747,13.321606,11.6228,10.539096,13.545742
200,31.50,315,11.784475,13.273714,11.701,10.599174,14.029588
300,30.20,302,11.766292,18.085671,12.0216,8.614794,18.335764
500,29.60,296,11.763225,13.309832,11.7262,10.572646,13.482829
